gRNA count,edge effect,wt at drive peak,drive peak rate,compl r1 at drive peak,part r1 at drive peak,compl r2 at drive peak,part r2 at drive peak,inds with drive at peak,pop at drive peak
1,0,0.5004892,0.4780065,0.0021378,0,0.0193665,0,0.956013,250000
2,0,0.5000007,0.4870983,1.25E-05,9.90E-06,0.0128037,7.49E-05,0.9741966,250000
3,0,0.5,0.4874216,0,0,0.0125314,4.70E-05,0.9748432,250000
4,0,0.5,0.4874614,0,0,0.0124922,4.64E-05,0.9749228,250000
5,0,0.5,0.4874796,0,0,0.0124691,5.13E-05,0.9749592,250000
6,0,0.5,0.4874082,0,0,0.0125408,5.10E-05,0.9748164,250000
7,0,0.5,0.4874437,0,0,0.0125048,5.15E-05,0.9748874,250000
8,0,0.5,0.4874375,0,0,0.012512,5.05E-05,0.974875,250000
9,0,0.5,0.4874731,0,0,0.0124767,5.02E-05,0.9749462,250000
10,0,0.5,0.4874812,0,0,0.0124718,4.70E-05,0.9749624,250000
11,0,0.5,0.4875062,0,0,0.0124424,5.14E-05,0.9750124,250000
12,0,0.5,0.4874812,0,0,0.0124694,4.94E-05,0.9749624,250000
1,0.02,0.5004939,0.4781379,0.0021389,0,0.0192293,0,0.9562758,250000
2,0.02,0.500002,0.4867725,1.49E-05,9.50E-06,0.0131122,8.89E-05,0.973545,250000
3,0.02,0.5,0.487097,1.00E-07,1.00E-07,0.0128286,7.42E-05,0.974194,250000
4,0.02,0.5,0.4871105,0,0,0.0128178,7.17E-05,0.974221,250000
5,0.02,0.5,0.4870514,0,0,0.0128722,7.64E-05,0.9741028,250000
6,0.02,0.5,0.4870406,0,0,0.0128822,7.72E-05,0.9740812,250000
7,0.02,0.5,0.4870761,0,0,0.0128522,7.17E-05,0.9741522,250000
8,0.02,0.5,0.4870981,0,0,0.0128327,6.92E-05,0.9741962,250000
9,0.02,0.5,0.4870789,0,0,0.0128474,7.37E-05,0.9741578,250000
10,0.02,0.5,0.487083,0,0,0.0128475,6.95E-05,0.974166,250000
11,0.02,0.5,0.487053,0,0,0.0128729,7.41E-05,0.974106,250000
12,0.02,0.5,0.4871055,0,0,0.0128248,6.97E-05,0.974211,250000
1,0.04,0.5004882,0.4780548,0.0021572,0,0.0192998,0,0.9561096,250000
