gRNA count,wt at drive peak,drive peak rate,compl r1 at drive peak,part r1 at drive peak,compl r2 at drive peak,part r2 at drive peak,inds with drive at peak,pop at drive peak
1,0.5004973,0.4781157,0.0021374,0,0.0192496,0,0.9562314,250000
2,0.5001427,0.4823065,5.07E-05,0.0002038,0.015442,0.0018543,0.964613,250000
3,0.5000823,0.4801568,1.00E-06,0.0001091,0.014319,0.0053318,0.9603136,250000
4,0.5000625,0.4769132,0,7.47E-05,0.0128822,0.0100674,0.9538264,250000
5,0.5000521,0.4731945,0,5.85E-05,0.0113399,0.015355,0.946389,250000
6,0.5000426,0.4694334,0,5.12E-05,0.0098558,0.020617,0.9388668,250000
7,0.5000394,0.4655933,0,4.35E-05,0.0084995,0.0258243,0.9311866,250000
8,0.5000364,0.4616861,0,4.13E-05,0.0073282,0.030908,0.9233722,250000
9,0.5000363,0.4576469,0,4.26E-05,0.0064103,0.0358639,0.9152938,250000
10,0.500033,0.453883,0,3.40E-05,0.0055357,0.0405143,0.907766,250000
11,0.5000296,0.4498762,0,3.82E-05,0.0048951,0.0451609,0.8997524,250000
12,0.5000315,0.4459405,0,3.67E-05,0.004326,0.0496653,0.891881,250000
