gRNA count,saturation factor,wt at drive peak,drive peak rate,compl r1 at drive peak,part r1 at drive peak,compl r2 at drive peak,part r2 at drive peak,inds with drive at peak,pop at drive peak
1,1,0.5004852,0.4780335,0.0021473,0,0.019334,0,0.956067,250000
2,1,0.5004827,0.4821805,4.40E-05,0.0003308,0.0140089,0.0029531,0.964361,250000
3,1,0.5004963,0.4824527,4.00E-07,0.0002477,0.0102548,0.0065481,0.9649054,250000
4,1,0.5004888,0.4825809,0,0.0002065,0.0076176,0.0091062,0.9651618,250000
5,1,0.5004891,0.4826666,0,0.00019,0.0058077,0.0108466,0.9653332,250000
6,1,0.5005002,0.482636,0,0.0001689,0.0045409,0.012154,0.965272,250000
7,1,0.5004734,0.4826979,0,0.0001758,0.0035996,0.0130533,0.9653958,250000
8,1,0.5004909,0.4826798,0,0.0001608,0.0029009,0.0137676,0.9653596,250000
9,1,0.5004971,0.4826047,0,0.0001618,0.0023936,0.0143428,0.9652094,250000
10,1,0.5004934,0.482706,0,0.0001608,0.0019816,0.0146582,0.965412,250000
11,1,0.5004945,0.4826939,0,0.0001588,0.0016538,0.014999,0.9653878,250000
12,1,0.5004881,0.4827761,0,0.0001528,0.0014304,0.0151526,0.9655522,250000
1,1.25,0.5005043,0.4781295,0.0021641,0,0.0192021,0,0.956259,250000
2,1.25,0.5002436,0.4839386,3.06E-05,0.0002133,0.0136942,0.0018797,0.9678772,250000
3,1.25,0.5001846,0.4847226,8.00E-07,0.0001255,0.0107822,0.0041843,0.9694452,250000
4,1.25,0.5001698,0.4849952,0,8.89E-05,0.0086489,0.0060972,0.9699904,250000
5,1.25,0.5001423,0.485156,0,7.47E-05,0.0069815,0.0076455,0.970312,250000
6,1.25,0.5001394,0.4852229,0,7.25E-05,0.0056402,0.008925,0.9704458,250000
7,1.25,0.5001321,0.4853927,0,6.22E-05,0.0045796,0.0098334,0.9707854,250000
8,1.25,0.5001369,0.4853342,0,5.83E-05,0.0038485,0.0106221,0.9706684,250000
9,1.25,0.5001225,0.4854178,0,5.62E-05,0.0032113,0.0111922,0.9708356,250000
10,1.25,0.5001267,0.4854165,0,5.11E-05,0.0027058,0.0116999,0.970833,250000
11,1.25,0.500122,0.4854156,0,5.51E-05,0.0023387,0.0120686,0.9708312,250000
12,1.25,0.5001236,0.4855073,0,5.11E-05,0.0019757,0.0123423,0.9710146,250000
1,1.5,0.5004927,0.478081,0.0021333,0,0.019293,0,0.956162,250000
2,1.5,0.5001493,0.484878,2.95E-05,0.0001517,0.0134269,0.0013646,0.969756,250000
3,1.5,0.5000806,0.4857167,2.00E-07,6.99E-05,0.0112186,0.002914,0.9714334,250000
4,1.5,0.500057,0.4861031,0,3.98E-05,0.0094187,0.0043814,0.9722062,250000
5,1.5,0.5000481,0.4862927,0,3.28E-05,0.0078845,0.0057419,0.9725854,250000
6,1.5,0.5000469,0.4863301,0,2.46E-05,0.0066155,0.0069829,0.9726602,250000
7,1.5,0.5000415,0.4865132,0,2.42E-05,0.0055106,0.0079105,0.9730264,250000
8,1.5,0.5000385,0.4865318,0,2.12E-05,0.0047006,0.0087079,0.9730636,250000
9,1.5,0.500034,0.486586,0,1.85E-05,0.0040124,0.0093491,0.973172,250000
10,1.5,0.500035,0.4865453,0,1.55E-05,0.0034909,0.0099133,0.9730906,250000
11,1.5,0.5000308,0.4866682,0,1.46E-05,0.0029637,0.0103227,0.9733364,250000
12,1.5,0.5000326,0.4866799,0,1.60E-05,0.0025941,0.0106774,0.9733598,250000
1,1.75,0.5004906,0.4779625,0.0021649,0,0.019382,0,0.955925,250000
2,1.75,0.5000937,0.4853589,2.32E-05,0.0001154,0.0133808,0.001028,0.9707178,250000
3,1.75,0.5000428,0.4863058,8.00E-07,4.30E-05,0.0114704,0.0021372,0.9726116,250000
4,1.75,0.5000255,0.4867476,0,2.01E-05,0.0099383,0.0032685,0.9734952,250000
5,1.75,0.5000175,0.4868495,0,1.36E-05,0.0085985,0.0045209,0.973699,250000
6,1.75,0.5000147,0.4869664,0,1.04E-05,0.007414,0.0055945,0.9739328,250000
7,1.75,0.5000132,0.4870821,0,7.70E-06,0.0063319,0.0065651,0.9741642,250000
8,1.75,0.5000128,0.4869557,0,9.00E-06,0.0055307,0.0074918,0.9739114,250000
9,1.75,0.5000097,0.4869882,0,7.60E-06,0.0047936,0.0082009,0.9739764,250000
10,1.75,0.5000101,0.4870607,0,6.20E-06,0.0041729,0.0087501,0.9741214,250000
11,1.75,0.5000089,0.4870825,0,5.10E-06,0.0036582,0.0092453,0.974165,250000
12,1.75,0.5000082,0.4871129,0,4.20E-06,0.0032189,0.0096558,0.9742258,250000
1,2,0.5004818,0.4780903,0.0021295,0,0.0192984,0,0.9561806,250000
2,2,0.5000636,0.4857597,2.62E-05,9.26E-05,0.0132481,0.0008098,0.9715194,250000
3,2,0.5000225,0.4867184,2.00E-07,2.75E-05,0.0116093,0.0016221,0.9734368,250000
4,2,0.5000118,0.4869508,0,1.20E-05,0.0104087,0.0026167,0.9739016,250000
5,2,0.5000083,0.4871122,0,7.40E-06,0.0092228,0.0036493,0.9742244,250000
6,2,0.5000059,0.4872484,0,5.40E-06,0.0080655,0.0046748,0.9744968,250000
7,2,0.5000041,0.4872246,0,3.60E-06,0.0071141,0.0056536,0.9744492,250000
8,2,0.500004,0.4872204,0,2.60E-06,0.0062671,0.0065059,0.9744408,250000
9,2,0.5000032,0.487277,0,2.10E-06,0.0054772,0.0072405,0.974554,250000
10,2,0.5000024,0.4872335,0,1.40E-06,0.0048572,0.0079055,0.974467,250000
11,2,0.5000015,0.4873396,0,2.00E-06,0.0043213,0.0083356,0.9746792,250000
12,2,0.5000024,0.4872916,0,1.40E-06,0.0038454,0.0088592,0.9745832,250000
1,2.25,0.5004891,0.4780359,0.0021512,0,0.0193238,0,0.9560718,250000
2,2.25,0.5000449,0.4859775,2.21E-05,7.61E-05,0.013208,0.0006714,0.971955,250000
3,2.25,0.5000128,0.4869389,3.00E-07,1.95E-05,0.0117541,0.0012744,0.9738778,250000
4,2.25,0.5000056,0.4871868,0,6.40E-06,0.0106804,0.0021208,0.9743736,250000
5,2.25,0.5000038,0.4872655,0,3.30E-06,0.0097001,0.0030273,0.974531,250000
6,2.25,0.5000021,0.4872463,0,2.20E-06,0.0087236,0.0040258,0.9744926,250000
7,2.25,0.500002,0.487342,0,1.30E-06,0.0077466,0.0049081,0.974684,250000
8,2.25,0.5000016,0.4873274,0,1.70E-06,0.0069341,0.0057352,0.9746548,250000
9,2.25,0.5000008,0.4873555,0,1.20E-06,0.0061653,0.0064772,0.974711,250000
10,2.25,0.5000007,0.4874216,0,6.00E-07,0.0054864,0.0070907,0.9748432,250000
11,2.25,0.5000008,0.4875141,0,8.00E-07,0.0048582,0.0076261,0.9750282,250000
12,2.25,0.5000009,0.4873951,0,9.00E-07,0.0044032,0.0081999,0.9747902,250000
1,2.5,0.5004847,0.4780264,0.0021609,0,0.019328,0,0.9560528,250000
2,2.5,0.5000332,0.4860924,2.13E-05,6.26E-05,0.0132114,0.0005791,0.9721848,250000
3,2.5,0.5000082,0.4870392,3.00E-07,1.23E-05,0.0118672,0.0010728,0.9740784,250000
4,2.5,0.5000029,0.4873234,0,4.20E-06,0.0109432,0.0017263,0.9746468,250000
5,2.5,0.5000012,0.4873919,0,2.60E-06,0.0100384,0.0025659,0.9747838,250000
6,2.5,0.5000007,0.4873851,0,1.30E-06,0.0091638,0.0034491,0.9747702,250000
7,2.5,0.5000005,0.4874439,0,5.00E-07,0.0082803,0.0042748,0.9748878,250000
8,2.5,0.5000005,0.4873748,0,3.00E-07,0.0075054,0.005119,0.9747496,250000
9,2.5,0.5000005,0.48743,0,3.00E-07,0.0067433,0.0058259,0.97486,250000
10,2.5,0.5000002,0.487509,0,4.00E-07,0.0060621,0.0064283,0.975018,250000
11,2.5,0.5000002,0.4873977,0,1.00E-07,0.0054901,0.0071119,0.9747954,250000
12,2.5,0.5,0.4874889,0,2.00E-07,0.0049443,0.0075666,0.9749778,250000
1,2.75,0.5004925,0.478132,0.002124,0,0.0192515,0,0.956264,250000
2,2.75,0.5000254,0.4863786,1.74E-05,5.46E-05,0.0130201,0.0005039,0.9727572,250000
3,2.75,0.5000046,0.4871327,2.00E-07,9.80E-06,0.011963,0.0008897,0.9742654,250000
4,2.75,0.5000023,0.4873213,0,2.00E-06,0.0111977,0.0014767,0.9746426,250000
5,2.75,0.5000011,0.4873827,0,8.00E-07,0.0104223,0.0021931,0.9747654,250000
6,2.75,0.5000006,0.4874034,0,5.00E-07,0.0095962,0.0029993,0.9748068,250000
7,2.75,0.5000002,0.4874088,0,5.00E-07,0.0087608,0.0038297,0.9748176,250000
8,2.75,0.5000001,0.4874415,0,2.00E-07,0.0080021,0.0045561,0.974883,250000
9,2.75,0.5,0.4873965,0,2.00E-07,0.007318,0.0052853,0.974793,250000
10,2.75,0.5,0.4874726,0,2.00E-07,0.006595,0.0059322,0.9749452,250000
11,2.75,0.5,0.4874632,0,2.00E-07,0.0060073,0.0065293,0.9749264,250000
12,2.75,0.5000001,0.4874179,0,0,0.0055028,0.0070792,0.9748358,250000
1,3,0.5004944,0.4780436,0.0021512,0,0.0193108,0,0.9560872,250000
2,3,0.5000215,0.4864378,1.99E-05,5.13E-05,0.0130255,0.000444,0.9728756,250000
3,3,0.5000029,0.4872079,1.00E-07,6.40E-06,0.0120257,0.000757,0.9744158,250000
4,3,0.5000013,0.4873823,0,1.50E-06,0.0113416,0.0012733,0.9747646,250000
5,3,0.5000003,0.4874122,0,7.00E-07,0.0106496,0.0019372,0.9748244,250000
6,3,0.5000001,0.4874124,0,6.00E-07,0.0099354,0.0026515,0.9748248,250000
7,3,0.5000001,0.4874349,0,2.00E-07,0.0091751,0.0033897,0.9748698,250000
8,3,0.5000001,0.487508,0,1.00E-07,0.008387,0.0041048,0.975016,250000
9,3,0.5000004,0.4874507,0,1.00E-07,0.007734,0.0048148,0.9749014,250000
10,3,0.5000001,0.4875022,0,1.00E-07,0.0071018,0.0053958,0.9750044,250000
11,3,0.5000001,0.4874942,0,0,0.0065036,0.0060021,0.9749884,250000
12,3,0.5000001,0.4875055,0,1.00E-07,0.0059402,0.0065541,0.975011,250000
1,3.25,0.5004907,0.4781292,0.0021372,0,0.0192429,0,0.9562584,250000
2,3.25,0.5000184,0.4864745,2.00E-05,4.30E-05,0.0130428,0.0004013,0.972949,250000
