gRNA count,gRNA activity variation,wt at drive peak,drive peak rate,compl r1 at drive peak,part r1 at drive peak,compl r2 at drive peak,part r2 at drive peak,inds with drive at peak,pop at drive peak
1,0,0.5004736,0.478084,0.002027,0,0.0194154,0,0.956168,250000
2,0,0.5001379,0.4823384,4.12E-05,0.0001942,0.0156385,0.0016498,0.9646768,250000
3,0,0.5000835,0.480115,6.00E-07,9.49E-05,0.0153031,0.0044029,0.96023,250000
4,0,0.5000618,0.476926,0,5.77E-05,0.0152743,0.0076802,0.953852,250000
5,0,0.5000502,0.473249,0,4.49E-05,0.0156217,0.0110342,0.946498,250000
6,0,0.5000453,0.4695065,0,3.37E-05,0.0163494,0.0140651,0.939013,250000
7,0,0.5000393,0.4655861,0,2.95E-05,0.0176432,0.0167019,0.9311722,250000
8,0,0.500037,0.4617057,0,2.48E-05,0.0193083,0.0189242,0.9234114,250000
9,0,0.5000318,0.4577576,0,1.95E-05,0.0214608,0.0207303,0.9155152,250000
10,0,0.5000363,0.4538133,0,1.90E-05,0.0239163,0.0222151,0.9076266,250000
11,0,0.5000326,0.449941,0,1.71E-05,0.0267952,0.0232141,0.899882,250000
12,0,0.5000301,0.4458298,0,1.54E-05,0.0300597,0.024065,0.8916596,250000
1,0.1,0.5002715,0.4791357,0.0019369,0,0.0186559,0,0.9582714,250000
2,0.1,0.5001393,0.4823332,4.36E-05,0.0001691,0.0158035,0.0015113,0.9646664,250000
3,0.1,0.5000826,0.4800351,1.00E-06,8.92E-05,0.0156023,0.0041898,0.9600702,250000
4,0.1,0.5000593,0.4767615,0,5.81E-05,0.015663,0.0074581,0.953523,250000
5,0.1,0.5000499,0.4732069,0,4.35E-05,0.0160598,0.0106399,0.9464138,250000
6,0.1,0.5000471,0.4693934,0,3.55E-05,0.0167667,0.0137573,0.9387868,250000
7,0.1,0.5000411,0.4654977,0,2.79E-05,0.0179336,0.0164997,0.9309954,250000
8,0.1,0.5000376,0.4614839,0,2.55E-05,0.0196952,0.0187578,0.9229678,250000
9,0.1,0.5000342,0.4576676,0,2.21E-05,0.0217703,0.0205058,0.9153352,250000
10,0.1,0.5000343,0.4536078,0,1.87E-05,0.0243266,0.0220126,0.9072156,250000
11,0.1,0.5000344,0.4497473,0,1.52E-05,0.0272411,0.022962,0.8994946,250000
12,0.1,0.5000309,0.4457685,0,1.67E-05,0.0303522,0.0238317,0.891537,250000
1,0.2,0.5001399,0.4797103,0.0018949,0,0.0182549,0,0.9594206,250000
2,0.2,0.500146,0.4822184,4.67E-05,0.0001561,0.0160158,0.001417,0.9644368,250000
3,0.2,0.500082,0.4799145,9.00E-07,8.04E-05,0.0159522,0.00397,0.959829,250000
4,0.2,0.5000594,0.4765646,0,6.02E-05,0.0160945,0.0072213,0.9531292,250000
5,0.2,0.500052,0.4728025,0,3.71E-05,0.0164964,0.010612,0.945605,250000
6,0.2,0.5000374,0.4690075,0,3.51E-05,0.0172343,0.0136857,0.938015,250000
7,0.2,0.5000398,0.4650759,0,2.89E-05,0.0184536,0.0164018,0.9301518,250000
8,0.2,0.5000394,0.461178,0,2.26E-05,0.0201108,0.0186492,0.922356,250000
9,0.2,0.5000348,0.4572225,0,2.17E-05,0.0222521,0.0204689,0.914445,250000
10,0.2,0.5000353,0.4531683,0,2.06E-05,0.0248491,0.0219267,0.9063366,250000
11,0.2,0.5000347,0.4490504,0,1.79E-05,0.0278041,0.0230929,0.8981008,250000
12,0.2,0.5000291,0.4450188,0,1.52E-05,0.031086,0.0238509,0.8900376,250000
1,0.3,0.500077,0.4800089,0.0018783,0,0.0180358,0,0.9600178,250000
2,0.3,0.5001361,0.4819706,5.60E-05,0.0001556,0.0163097,0.001372,0.9639412,250000
3,0.3,0.5000855,0.4795787,1.10E-06,8.75E-05,0.0163501,0.0038971,0.9591574,250000
4,0.3,0.5000596,0.4760636,0,5.32E-05,0.0166471,0.0071765,0.9521272,250000
5,0.3,0.5000484,0.4724432,0,4.13E-05,0.0169663,0.0105008,0.9448864,250000
