Default efficiency,,,,,,,,,,
gRNA count,wt at end,drive at end,compl r1 at end,part r1 at end,compl r2 at end,part r2 at end,inds with drive at end,pop at end,gens from drop to end,zero end population
1,0.000147593,0.001059533,0.997613025,0,0.001179866,0,0.002117815,99845.975,100,0
2,4.28E-05,0.001202448,0.9978279,0,0.000926746,0,0.002402391,99951.7,100,0
3,5.78E-05,0.001304353,0.996553238,0.000608546,0.001476027,0,0.002606322,100071.3095,100,0.675
4,0,0.000274687,0.497965,0,0.001760495,0,0.000549375,50057,100,0.975
5,0,0,0,0,0,0,0,0,100,1
6,0,0,0,0,0,0,0,0,100,1
7,0,0,0,0,0,0,0,0,100,1
8,0,0,0,0,0,0,0,0,100,1
9,0,0,0,0,0,0,0,0,100,1
10,0,0,0,0,0,0,0,0,100,1
11,0,0,0,0,0,0,0,0,100,1
12,0.02835935,0.3737155,0,0,0.078131,0.01979445,0.468405,1313.5,100,0.975
Default efficiency low r1,,,,,,,,,,
gRNA count,wt at end,drive at end,compl r1 at end,part r1 at end,compl r2 at end,part r2 at end,inds with drive at end,pop at end,gens from drop to end,zero end population
1,0.000145423,0.001046578,0.99744665,0,0.00136144,0,0.002091662,100260.1,100,0
2,0.00E+00,0.001019817,0.998412,0,0.000567791,0,0.002039635,99308.5,100,0.9
3,0.00E+00,0,0,0,0,0,0,0,100,1
4,0,0,0,0,0,0,0,0,100,1
5,0,0,0,0,0,0,0,0,100,1
6,0,0,0,0,0,0,0,0,100,1
7,0,0,0,0,0,0,0,0,100,1
8,0,0,0,0,0,0,0,0,100,1
9,0,0,0,0,0,0,0,0,100,1
10,0,0,0,0,0,0,0,0,100,1
11,0,0,0,0,0,0,0,0,100,1
12,0,0,0,0,0,0,0,0,100,1
Reduced efficiency,,,,,,,,,,
gRNA count,wt at end,drive at end,compl r1 at end,part r1 at end,compl r2 at end,part r2 at end,inds with drive at end,pop at end,gens from drop to end,zero end population
1,0.000575479,0.001034957,0.996311375,0,0.002078215,0,0.002069163,99940.6,100,0
2,5.88E-05,0.001181006,0.9973383,9.00E-06,0.001402783,1.02E-05,0.002361015,99960.75,100,0
3,1.14E-04,0.001372515,0.996975603,0.000004995,0.00149636,3.64E-05,0.002742758,99907.83948,100,0.025
4,0.000055222,0.001515784,0.994637125,0.001677122,0.002110939,3.74E-06,0.003029061,99975.54165,100,0.75
5,0,0.00074196,0.4980565,0,0.001201625,0,0.001483915,50036.5,100,0.975
6,0,0.00763826,0.9780215,0.004438465,0.009644815,0.000257022,0.01518129,100085,100,0.95
7,0,0.01387895,0.4738595,0.002867865,0.00882245,0.00057106,0.02740575,49688.5,100,0.975
8,0.02992595,0.371815,0,0.000074074,0.073037,0.02514815,0.4694075,3375,100,0.975
9,0.048656486,0.694365679,0,0.03237137,0.173711988,0.050894532,0.909860095,6412.988095,100,0.675
10,0.066746897,0.688332845,0,0.015769071,0.177998806,0.051152412,0.9072655,5789.888889,100,0.175
11,0.076816032,0.656136404,0,0.017362398,0.195932723,0.053752457,0.883621287,8390.29079,100,0.025
12,0.09164882,0.6190331,0,0.018654791,0.214982925,0.055680353,0.858663275,11348.5,100,0
Reduced efficiency low r1,,,,,,,,,,
gRNA count,wt at end,drive at end,compl r1 at end,part r1 at end,compl r2 at end,part r2 at end,inds with drive at end,pop at end,gens from drop to end,zero end population
1,0.000412767,0.000963318,0.99633015,0,0.002293747,0,0.001925643,100091.6,100,0
2,1.45E-04,0.001428788,0.996671143,0,0.00174912,5.72236E-06,0.002853276,99964,100,0.65
3,0,0.00429882,0.989809,3.22E-04,0.00538986,1.81E-04,0.00854735,99446,100,0.95
4,0,0,0,0,0,0,0,0,100,1
5,0,0,0,0,0,0,0,0,100,1
6,0,0,0,0,0,0,0,0,100,1
7,0,0,0,0,0,0,0,0,100,1
8,0.035897033,0.782616,0,0.004522663,0.139968333,0.036996167,0.942396,1334.666667,100,0.85
9,0.0647025,0.740963,0,9.19777E-05,0.14878575,0.045456475,0.928609,4581,100,0.8
10,0.074233765,0.702687765,0,0.000151853,0.169321882,0.053604706,0.911445588,5988.647059,100,0.15
11,0.0905929,0.659377263,0,0.001415301,0.193232474,0.055382058,0.885879105,8127.894737,100,0.05
12,0.103718195,0.6293937,0,0.000450109,0.2103445,0.056093415,0.8639848,10457.55,100,0
Low efficiency,,,,,,,,,,
gRNA count,wt at end,drive at end,compl r1 at end,part r1 at end,compl r2 at end,part r2 at end,inds with drive at end,pop at end,gens from drop to end,zero end population
1,0.001667504,0.000848463,0.9943963,0,0.003087766,0,0.001695927,99997.4,100,0
