Haplolethal,Recessive lethal,GUT,Recessive Sterile,gRNA count,edge effect,cut phases,saturation factor,gRNA activity variation,total failure r1 rate,wt at drive peak,drive peak rate,compl r1 at drive peak,part r1 at drive peak,compl r2 at drive peak,part r2 at drive peak,inds with drive at peak,pop at drive peak,gens from drop to peak,runs drive surpassed 0.5,gens from drop to 0.5,drive frequency at gen 10,wt at end,drive at end,compl r1 at end,part r1 at end,compl r2 at end,part r2 at end,inds with drive at end,pop at end,gens from drop to end,zero end population
F,F,F,F,1,0.055,3,1.5,0.2,0.001,0.001470647,0.8533002,0.01589607,0,0.1293331,0,0.9786632,89925.3,13,1,9,0.71885835,0,0.2302448,0.40280295,0,0.3669522,0,0.4073645,95298.8,100,0
F,F,F,F,2,0.055,3,1.5,0.2,0.001,0.000872449,0.9189636,0.000312727,1.56E-05,0.07967208,0.000163562,0.99345595,89453.5,12.7,1,9,0.81569275,0,0.5096872,0.017841423,0,0.47247145,0,0.75900735,91633.35,100,0
F,F,F,F,3,0.055,3,1.5,0.2,0.001,0.000537548,0.92074135,1.32E-05,1.06E-05,0.078432435,0.000264841,0.99360775,89352.5,12.85,1,9,0.80707955,0,0.5305403,0.000444287,0,0.46901545,0,0.77895815,91604.15,100,0
F,F,F,F,4,0.055,3,1.5,0.2,0.001,0.000271399,0.9171363,0,3.92E-06,0.08218508,0.000403376,0.9931048,89322.95,13.1,1,9,0.78868425,0,0.5153956,0,0,0.4846044,0,0.76538305,91519.95,100,0
F,F,F,F,5,0.055,3,1.5,0.2,0.001,0.000397344,0.91099975,0,6.71E-06,0.087624465,0.000971681,0.99202965,89474.5,13,1,9,0.7727669,0,0.4947097,0,0,0.5052903,0,0.74434,91559.6,100,0
F,F,F,F,6,0.055,3,1.5,0.2,0.001,0.000529616,0.90456385,0,1.23E-05,0.093238585,0.001655815,0.99084505,89490.6,13.25,1,9,0.74230625,0,0.47841545,0,0,0.52158455,0,0.72778915,91725.9,100,0
F,F,F,F,7,0.055,3,1.5,0.2,0.001,0.000430217,0.89515375,0,9.47E-06,0.10241507,0.001991481,0.98907995,89589.1,13.65,1,9.05,0.70980655,0,0.46073285,0,0,0.53926715,0,0.70865535,91893.4,100,0
F,F,F,F,8,0.055,3,1.5,0.2,0.001,0.00029112,0.8841445,0,3.91E-06,0.1131133,0.002447045,0.986622,89576.9,13.95,1,9.3,0.6798526,0,0.42633835,0,0,0.57366165,0,0.6706094,92116.35,100,0
F,F,F,F,9,0.055,3,1.5,0.2,0.001,0.000443045,0.8737338,0,7.52E-06,0.12212785,0.003687756,0.9839059,89739.2,14.05,1,10,0.6428632,0,0.4083903,0,0,0.5916097,0,0.64921755,92349.45,100,0
F,F,F,F,10,0.055,3,1.5,0.2,0.001,0.000565683,0.8608401,0,5.30E-06,0.133924,0.004665116,0.9806796,89700.15,14.35,1,10,0.60693255,0,0.3944252,0,0,0.6055748,0,0.6331339,92217.9,100,0
F,F,F,F,11,0.055,3,1.5,0.2,0.001,0.000379561,0.8459847,0,6.12E-06,0.1490197,0.004609985,0.97637915,89919.05,14.85,1,10,0.57361635,0,0.35869995,0,0,0.64130005,0,0.58852315,92502.9,100,0
F,F,F,F,12,0.055,3,1.5,0.2,0.001,0.000402839,0.82960745,0,5.84E-06,0.16447285,0.005510971,0.9709139,90011.8,15,1,10,0.5415796,0,0.3351703,0,0,0.6648297,0,0.5580738,92490.95,100,0
T,F,F,F,1,0.055,3,1.5,0.2,0.001,7.46E-05,0.9818475,0.01807807,0,0,0,0.99966375,89060.6,13.05,1,9,0.78318145,0,0.3533646,0.6466354,0,0,0,0.58155335,95874,100,0
T,F,F,F,2,0.055,3,1.5,0.2,0.001,1.13E-06,0.99959895,0.000398584,1.41E-06,0,0,1,88759.5,15.2,1,9,0.81108835,0,0.96269765,0.037302394,0,0,0,0.99834575,89132.5,100,0
T,F,F,F,3,0.055,3,1.5,0.2,0.001,0,0.9999887,1.13E-05,0,0,0,1,88856.1,22.8,1,9.05,0.78898845,0,0.99690605,0.003093948,0,0,0,0.99985965,88775.35,100,0
T,F,F,F,4,0.055,3,1.5,0.2,0.001,0,0.9999736,2.64E-05,0,0,0,1,88946.2,23.75,1,9.05,0.76356365,0,0.9943994,0.005600625,0,0,0,0.9998375,88934.3,100,0
T,F,F,F,5,0.055,3,1.5,0.2,0.001,0,0.99997785,2.22E-05,0,0,0,1,88926.75,22.45,1,9.5,0.72274755,0,0.99619965,0.003800309,0,0,0,0.99997925,89000.05,100,0
T,F,F,F,6,0.055,3,1.5,0.2,0.001,0,0.99993805,6.20E-05,0,0,0,1,89048.25,22.7,1,9.9,0.69427475,0,0.99165045,0.008349561,0,0,0,0.99983575,88952.25,100,0
T,F,F,F,7,0.055,3,1.5,0.2,0.001,0,0.99988885,0.000111264,0,0,0,1,88801.8,20.8,1,10,0.66981505,0,0.98764615,0.012353807,0,0,0,0.99968255,88995,100,0
T,F,F,F,8,0.055,3,1.5,0.2,0.001,0,0.9998615,0.000138534,0,0,0,1,88792.85,20.4,1,10,0.64204345,0,0.98266225,0.017337763,0,0,0,0.9995466,89154,100,0
T,F,F,F,9,0.055,3,1.5,0.2,0.001,0,0.9998463,0.000153737,0,0,0,1,88970.55,18.45,1,10,0.6003781,0,0.9805024,0.019497578,0,0,0,0.9993331,89010.15,100,0
T,F,F,F,10,0.055,3,1.5,0.2,0.001,5.64E-07,0.99964445,0.000355061,0,0,0,1,88533.45,18.05,1,10,0.57469965,0,0.96574545,0.034254621,0,0,0,0.9983457,89304.85,100,0
T,F,F,F,11,0.055,3,1.5,0.2,0.001,4.81E-06,0.99949765,0.000497557,0,0,0,1,88714.25,16.9,1,10,0.53537915,0,0.94539725,0.054602738,0,0,0,0.99593575,89416.95,100,0
T,F,F,F,12,0.055,3,1.5,0.2,0.001,8.46E-07,0.9994631,0.000536092,0,0,0,1,88852.65,19.4,1,10.45,0.50169845,0,0.9558227,0.04417732,0,0,0,0.9974995,89377.15,100,0
F,T,F,F,1,0.055,3,1.5,0.2,0.001,0,0.91901715,0.030858395,0,0.05012449,0,0.9958757,89318.45,24.7,1,9,0.7340132,0,0.35107395,0.634265,0,0.014661035,0,0.57806755,95602.55,100,0
F,T,F,F,2,0.055,3,1.5,0.2,0.001,0,0.9677094,0.003746081,0,0.028544425,0,0.999753,89067.7,61,1,9,0.8206176,0,0.94057315,0.033787371,0,0.025639455,0,0.99677225,89352.45,100,0
F,T,F,F,3,0.055,3,1.5,0.2,0.001,0,0.97357035,0.000378727,0,0.026050935,0,0.9999792,89009.55,83.75,1,9,0.81822175,0,0.96989895,0.003368212,0,0.026732835,0,0.99975135,89009,100,0
