Haplolethal,Recessive lethal,GUT,Recessive Sterile,gRNA count,edge effect,cut phases,saturation factor,gRNA activity variation,total failure r1 rate,wt at drive peak,drive peak rate,compl r1 at drive peak,part r1 at drive peak,compl r2 at drive peak,part r2 at drive peak,inds with drive at peak,pop at drive peak,gens from drop to peak,runs drive surpassed 0.5,gens from drop to 0.5,drive frequency at gen 10,wt at end,drive at end,compl r1 at end,part r1 at end,compl r2 at end,part r2 at end,inds with drive at end,pop at end,gens from drop to end,zero end population
F,F,F,F,1,0.055,3,1.5,0.2,0.001,0.005627391,0.72838325,0.02956544,0,0.23642395,0,0.9261069,90707.1,14,1,10.45,0.50226975,0,0.12934065,0.4566371,0,0.4140224,0,0.2419775,95938.3,100,0
F,F,F,F,2,0.055,3,1.5,0.2,0.001,0.001771217,0.8574204,0.00105076,0.000116721,0.13872385,0.000917207,0.9797595,89961.95,13.05,1,9.1,0.6889585,0,0.35942685,0.03922952,0,0.6013436,0,0.5893906,92600.95,100,0
F,F,F,F,3,0.055,3,1.5,0.2,0.001,0.001191402,0.87686475,4.33E-05,6.06E-05,0.12014,0.001699972,0.9848383,89519.8,13.15,1,9,0.70086515,0,0.40641245,0.004084638,0,0.58950295,0,0.6474833,92135.7,100,0
F,F,F,F,4,0.055,3,1.5,0.2,0.001,0.000533558,0.8769676,1.95E-06,2.67E-05,0.12061295,0.001857254,0.9850322,89853.8,13.8,1,9.65,0.66689185,0,0.41843385,0.000542405,0,0.58102375,0,0.66198675,91984.35,100,0
F,F,F,F,5,0.055,3,1.5,0.2,0.001,0.000405234,0.8699898,0,1.67E-05,0.1268063,0.002781961,0.98309205,89719.55,14.05,1,10,0.6348949,0,0.3955108,0,0,0.6044892,0,0.6342548,92101.5,100,0
F,F,F,F,6,0.055,3,1.5,0.2,0.001,0.000503664,0.85727845,0,1.70E-05,0.1380864,0.004114433,0.97951305,89773.45,14.35,1,10,0.6036624,0,0.37555145,0,0,0.62444855,0,0.61003935,92304.65,100,0
F,F,F,F,7,0.055,3,1.5,0.2,0.001,0.000608629,0.84086575,0,2.28E-05,0.1527768,0.005725885,0.97478365,89922.9,14.65,1,10,0.5590987,0,0.34948695,0,0,0.65051305,0,0.57649205,92241.05,100,0
F,F,F,F,8,0.055,3,1.5,0.2,0.001,0.0004449,0.82276475,0,2.39E-05,0.17034545,0.006420855,0.9685159,89912.6,15.2,1,10.3,0.5064,0,0.32480475,0,0,0.67519525,0,0.544173,92471.7,100,0
F,F,F,F,9,0.055,3,1.5,0.2,0.001,0.000654558,0.8001303,0,2.14E-05,0.19102515,0.008168559,0.9600236,90125.6,15.55,1,11,0.4702714,0,0.29756345,0,0,0.70243655,0,0.506375,92737.6,100,0
F,F,F,F,10,0.055,3,1.5,0.2,0.001,0.000584738,0.7775733,0,1.94E-05,0.2128561,0.008966506,0.95047325,90158.6,15.95,1,11,0.4349136,0,0.2687393,0,0,0.7312607,0,0.4649634,92768.25,100,0
F,F,F,F,11,0.055,3,1.5,0.2,0.001,0.000997436,0.7515434,0,2.60E-05,0.23526455,0.012168584,0.93829235,90209.65,16.1,1,11.05,0.39049745,0,0.2439741,0,0,0.7560259,0,0.4283774,93030.8,100,0
F,F,F,F,12,0.055,3,1.5,0.2,0.001,0.00180681,0.72472515,0,7.25E-05,0.25725195,0.016143615,0.92433445,90461.9,16.2,1,12,0.3523605,0,0.22628395,0,0,0.77371605,0,0.40127695,93044.6,100,0
T,F,F,F,1,0.055,3,1.5,0.2,0.001,0.000946026,0.95972415,0.03932969,0,0,0,0.9984896,88962.05,14,1,10.8,0.4839337,0,0.20703115,0.79296885,0,0,0,0.3710096,97626.2,100,0
T,F,F,F,2,0.055,3,1.5,0.2,0.001,1.04E-05,0.9987363,0.001245987,7.32E-06,0,0,0.99999835,88878.4,14.75,1,10,0.5683151,0,0.8852254,0.11477462,0,0,0,0.985717,90135.75,100,0
T,F,F,F,3,0.055,3,1.5,0.2,0.001,1.40E-06,0.99995165,4.50E-05,1.96E-06,0,0,1,88877.75,24.45,1,10,0.53832285,0,0.9944002,0.00559976,0,0,0,0.9999237,89069.4,100,0
T,F,F,F,4,0.055,3,1.5,0.2,0.001,0,0.9999566,4.33E-05,0,0,0,1,88795.9,22.2,1,10.7,0.48517745,0,0.9954926,0.004507457,0,0,0,0.9999434,88905.5,100,0
T,F,F,F,5,0.055,3,1.5,0.2,0.001,0,0.99990905,9.10E-05,0,0,0,1,88721.75,33.05,1,11,0.4354057,0,0.9900984,0.009901516,0,0,0,0.99974065,89005.65,100,0
T,F,F,F,6,0.055,3,1.5,0.2,0.001,1.41E-06,0.9997981,0.000199629,8.46E-07,0,0,1,88782.2,22.5,1,11,0.3963142,0,0.9774198,0.022580155,0,0,0,0.99921725,88987.6,100,0
T,F,F,F,7,0.055,3,1.5,0.2,0.001,4.24E-06,0.99974405,0.000251016,8.50E-07,0,0,1,88775.5,19.55,1,11.05,0.35178885,0,0.97421755,0.025782554,0,0,0,0.9988389,89263.4,100,0
T,F,F,F,8,0.055,3,1.5,0.2,0.001,5.68E-07,0.99957715,0.000421735,5.63E-07,0,0,0.99999945,88696.4,20.8,1,11.7,0.3163445,0,0.9631421,0.036857868,0,0,0,0.9981726,89163.75,100,0
T,F,F,F,9,0.055,3,1.5,0.2,0.001,8.47E-07,0.9993933,0.000605826,0,0,0,0.99999945,88849.45,18.5,1,12,0.2783883,0,0.93744095,0.062559128,0,0,0,0.99429375,89599.6,100,0
T,F,F,F,10,0.055,3,1.5,0.2,0.001,6.51E-06,0.99917135,0.000821284,8.47E-07,0,0,0.99999945,88758.7,17.4,1,12.05,0.24386765,0,0.9405036,0.059496365,0,0,0,0.9960082,89595.95,100,0
T,F,F,F,11,0.055,3,1.5,0.2,0.001,1.71E-06,0.99888185,0.001116255,2.82E-07,0,0,0.99999945,88847.35,18.65,1,12.65,0.21692445,0,0.9154901,0.08450985,0,0,0,0.99208795,89693.8,100,0
T,F,F,F,12,0.055,3,1.5,0.2,0.001,1.66E-05,0.99853055,0.001449489,3.42E-06,0,0,1,88571.45,17.95,1,13,0.1838968,0,0.89322645,0.10677364,0,0,0,0.9876204,89755.65,100,0
F,T,F,F,1,0.055,3,1.5,0.2,0.001,0,0.87830185,0.056708145,0,0.064989955,0,0.9887249,89479.85,23.2,1,10.1,0.53202975,0,0.2091027,0.77912415,0,0.011773157,0,0.3743212,97364.95,100,0
F,T,F,F,2,0.055,3,1.5,0.2,0.001,0,0.958533,0.00779451,0,0.03367253,0,0.99934555,89069.25,49.4,1,9,0.7094015,0,0.86747205,0.10695366,0,0.02557441,0,0.98134795,89994.2,100,0
F,T,F,F,3,0.055,3,1.5,0.2,0.001,0,0.97128215,0.002138116,0,0.026579665,0,0.99987685,88950.45,81.2,1,9,0.71883875,0,0.9657347,0.008595362,0,0.025670005,0,0.99937325,89275.15,100,0
F,T,F,F,4,0.055,3,1.5,0.2,0.001,0,0.97175975,0.001124175,0,0.027116165,0,0.99993315,88892.15,83.2,1,9.2,0.6985874,0,0.967542,0.005461205,0,0.02699675,0,0.9996399,89140.1,100,0
F,T,F,F,5,0.055,3,1.5,0.2,0.001,0,0.97044565,0.001798057,0,0.027756415,0,0.99986205,88995.85,76.45,1,9.8,0.66257165,0,0.9604351,0.01257638,0,0.026988555,0,0.9989698,89196,100,0
F,T,F,F,6,0.055,3,1.5,0.2,0.001,0,0.96903405,0.002668016,0,0.028297935,0,0.9998277,89060.15,70.85,1,10,0.62585995,0,0.95765955,0.015772875,0,0.0265675,0,0.9987331,89116.75,100,0
F,T,F,F,7,0.055,3,1.5,0.2,0.001,0,0.96775845,0.003684505,0,0.02855709,0,0.99975085,88876.45,73.1,1,10,0.59122155,0,0.9507576,0.022607947,0,0.02663452,0,0.99796235,89049.35,100,0
F,T,F,F,8,0.055,3,1.5,0.2,0.001,0,0.9656897,0.004149243,0,0.03016098,0,0.99972665,88910.55,63.5,1,10,0.5481454,0,0.9387619,0.034467457,0,0.026770605,0,0.99651525,89245.75,100,0
F,T,F,F,9,0.055,3,1.5,0.2,0.001,0,0.9633022,0.005260184,0,0.03143761,0,0.99961915,89126.7,60.4,1,10.25,0.50920615,0,0.92623155,0.04757592,0,0.02619246,0,0.99448765,89324,100,0
F,T,F,F,10,0.055,3,1.5,0.2,0.001,0,0.9624565,0.006129955,0,0.03141356,0,0.9995624,89024.55,59.05,1,11,0.45609705,0,0.91755505,0.056504863,0,0.025940195,0,0.9930585,89514.35,100,0
F,T,F,F,11,0.055,3,1.5,0.2,0.001,0,0.9605228,0.006499436,0,0.0329776,0,0.999532,89114.65,54.95,1,11,0.422332,0,0.90623895,0.067599685,0,0.026161365,0,0.99114965,89668.5,100,0
F,T,F,F,12,0.055,3,1.5,0.2,0.001,0,0.95702195,0.008378865,0,0.03459928,0,0.99934195,89026.85,51.65,1,11.15,0.38501615,0,0.87110835,0.103402165,0,0.02548944,0,0.9829452,89894.05,100,0
F,F,T,F,1,0.055,3,1.5,0.2,0.001,0.007256783,0.7269129,0.035358665,0,0.2304717,0,0.9254095,85979.35,14.05,1,10.75,0.4941866,0,0.021047325,0.9082928,0,0.070659875,0,0.04164034,99261.15,100,0
F,F,T,F,2,0.055,3,1.5,0.2,0.001,0.001908066,0.85750125,0.001210235,0.000114022,0.1383553,0.000911029,0.97973105,84639.45,13.25,1,9.25,0.6785341,0,0.107422935,0.69215685,0,0.2004202,0,0.2031116,96997.2,100,0
F,F,T,F,3,0.055,3,1.5,0.2,0.001,0.000971889,0.87632985,6.11E-05,4.81E-05,0.1212105,0.001378753,0.9847284,84446.6,13.6,1,9.45,0.6778109,0,0.3153454,0.151546725,0,0.5331079,0,0.52708335,89074.1,100,0
F,F,T,F,4,0.055,3,1.5,0.2,0.001,0.000427192,0.87640235,2.96E-06,2.58E-05,0.1216107,0.001530938,0.98475405,84266.05,14,1,9.75,0.65713165,0,0.3764949,0.01125,0,0.6122551,0,0.6105867,86852.75,100,0
F,F,T,F,5,0.055,3,1.5,0.2,0.001,0.000618895,0.86781375,0,2.55E-05,0.1282512,0.003290616,0.9825549,84205.7,14.05,1,10,0.6218097,0,0.3690637,0,0,0.6309363,0,0.6019292,86806.35,100,0
F,F,T,F,6,0.055,3,1.5,0.2,0.001,0.00057265,0.8559747,0,2.23E-05,0.13928605,0.004144124,0.9791356,84318.3,14.65,1,10,0.5742108,0,0.3462318,0,0,0.6537682,0,0.5723117,86953.2,100,0
F,F,T,F,7,0.055,3,1.5,0.2,0.001,0.000392498,0.84099655,0,1.42E-05,0.1536614,0.004935253,0.97461545,84535.6,15,1,10,0.53524565,0,0.32947535,0,0,0.67052465,0,0.5502488,87029.1,100,0
