Reduced efficiency parameters,,,,,,,,,
2-gRNA,,,,,,,,,
gen,wt,dr,r1,r2,full_r1,part_r1,full_r2,part_r2,
0,200810,1000,0,0,0,0,0,0,
1,198194,1791,18,281,0,18,107,174,
2,195797,2901,29,609,1,28,304,305,
3,192201,4825,56,1110,2,54,578,532,
4,189319,8307,105,1913,5,100,1055,858,
5,180862,13332,155,3169,13,142,1770,1399,
6,168228,21596,286,5044,31,255,2796,2248,
7,148563,33996,396,7493,33,363,4398,3095,
8,122554,48927,542,10815,51,491,6744,4071,
9,90169,64627,630,13178,94,536,8914,4264,
10,56356,74123,638,13977,115,523,10271,3706,
11,29623,72943,493,12663,155,338,10134,2529,
12,12154,58360,400,9300,198,202,8007,1293,
13,3983,37778,422,5723,315,107,5189,534,
14,1525,20177,614,3048,555,59,2892,156,
15,599,14425,1415,2063,1390,25,1970,93,
16,444,13239,4411,2002,4391,20,1958,44,
17,418,25461,16164,4029,16146,18,3965,64,
18,374,39637,41603,5968,41585,18,5856,112,
19,324,47495,72227,7278,72211,16,7162,116,
20,217,47295,96244,7270,96221,23,7181,89,
21,179,44466,114024,6727,113999,25,6640,87,
22,126,39390,125925,6157,125903,22,6094,63,
23,93,35800,138783,5746,138769,14,5673,73,
24,89,31929,146780,5354,146768,12,5289,65,
25,75,28589,152906,4874,152900,6,4818,56,
26,65,25772,158667,4470,158662,5,4410,60,
27,71,22915,163009,3991,163003,6,3944,47,
28,77,20725,166968,3602,166964,4,3559,43,
29,55,18912,172389,3380,172383,6,3348,32,
30,44,17052,174179,3221,174172,7,3190,31,
31,63,15579,176858,3060,176853,5,3025,35,
32,49,14274,178999,2960,178996,3,2925,35,
33,43,13019,178823,2715,178821,2,2677,38,
34,36,12169,181260,2579,181259,1,2554,25,
35,46,11119,184070,2381,184070,0,2356,25,
36,49,10286,184852,2217,184852,0,2186,31,
37,58,9565,186322,2107,186322,0,2073,34,
38,54,8806,186808,1992,186808,0,1954,38,
39,47,8149,188771,1889,188771,0,1847,42,
40,55,7603,188670,1882,188670,0,1818,64,
41,53,7200,189858,1789,189858,0,1728,61,
42,66,6486,191329,1707,191329,0,1652,55,
43,76,6292,191258,1654,191258,0,1603,51,
44,63,5914,191467,1534,191467,0,1486,48,
45,76,5586,190877,1481,190877,0,1427,54,
46,81,5391,192914,1364,192914,0,1318,46,
47,79,5174,193259,1316,193259,0,1257,59,
48,88,4835,193552,1239,193552,0,1194,45,
49,85,4389,193528,1242,193528,0,1206,36,
50,74,3971,195963,1178,195963,0,1128,50,
51,80,3743,194302,1177,194302,0,1130,47,
52,90,3542,193628,1086,193628,0,1045,41,
53,83,3499,194153,1097,194153,0,1060,37,
54,76,3365,195552,1067,195552,0,1032,35,
55,79,3128,195308,1023,195308,0,986,37,
56,96,2949,194957,964,194957,0,938,26,
57,107,2842,196716,959,196716,0,940,19,
58,101,2516,196805,960,196805,0,945,15,
59,119,2232,196676,947,196676,0,929,18,
60,137,2139,195724,910,195724,0,892,18,
61,115,1943,195904,870,195904,0,848,22,
62,143,1838,196496,857,196496,0,838,19,
63,136,1808,196250,762,196250,0,744,18,
64,147,1722,196404,751,196404,0,736,15,
65,145,1664,196440,729,196440,0,716,13,
66,140,1540,196061,727,196061,0,713,14,
67,151,1411,197540,654,197540,0,643,11,
68,156,1317,197415,594,197415,0,586,8,
69,147,1206,197464,565,197464,0,557,8,
70,161,1137,196644,506,196644,0,502,4,
71,163,1044,199528,537,199528,0,530,7,
72,187,950,198632,517,198632,0,509,8,
73,206,896,197971,521,197971,0,518,3,
74,185,796,197571,498,197571,0,494,4,
75,194,792,198147,489,198147,0,487,2,
76,177,778,196902,479,196902,0,478,1,
77,168,703,199174,513,199174,0,513,0,
78,177,686,198385,552,198385,0,552,0,
79,175,631,196826,510,196826,0,509,1,
80,172,676,199200,476,199200,0,476,0,
81,171,639,198888,532,198888,0,532,0,
82,179,660,198943,512,198943,0,512,0,
83,175,629,197992,494,197992,0,492,2,
84,163,652,198999,478,198999,0,475,3,
85,151,606,199343,438,199343,0,435,3,
86,126,578,198699,481,198699,0,478,3,
87,114,547,199847,496,199847,0,490,6,
88,111,463,198529,457,198529,0,450,7,
89,113,461,198849,425,198849,0,420,5,
90,131,406,197891,372,197891,0,366,6,
91,135,369,198967,403,198967,0,399,4,
92,126,358,200889,367,200889,0,363,4,
93,113,321,200159,391,200159,0,383,8,
94,116,320,198066,386,198066,0,378,8,
95,132,308,198206,402,198206,0,394,8,
96,114,260,199315,397,199315,0,385,12,
97,107,228,198528,361,198528,0,352,9,
98,106,203,199751,344,199751,0,335,9,
99,109,187,200350,316,200350,0,308,8,
100,93,158,199605,314,199605,0,300,14,
,,,,,,,,,
4-gRNA,,,,,,,,,
gen,wt,dr,r1,r2,full_r1,part_r1,full_r2,part_r2,
0,201220,1000,0,0,0,0,0,0,
1,197855,1770,22,325,0,22,84,241,
2,196096,2930,41,681,0,41,226,455,
3,191320,4805,63,1292,0,63,436,856,
4,186814,8039,84,2271,0,84,791,1480,
5,179927,12900,172,3607,0,172,1266,2341,
6,166906,20166,249,5523,0,249,2014,3509,
7,150478,30767,319,8310,0,319,3203,5107,
8,126886,44839,432,11569,0,432,4765,6804,
9,96848,59278,490,14566,0,490,6536,8030,
10,64368,71847,466,15855,0,466,7863,7992,
11,35057,72749,340,14892,0,340,8142,6750,
12,15433,62038,176,11315,0,176,7097,4218,
13,5511,41321,70,6876,0,70,4790,2086,
14,1761,23556,32,3555,0,32,2663,892,
15,817,11642,10,1901,0,10,1547,354,
16,495,7747,5,1239,0,5,1002,237,
17,244,5976,3,893,0,3,748,145,
18,153,3404,5,592,0,5,520,72,
19,136,2010,3,381,0,3,339,42,
20,122,2088,1,407,0,1,364,43,
21,84,1734,2,276,0,2,236,40,
22,0,974,12,132,0,12,110,22,
23,0,249,0,15,0,0,7,8,
24,0,0,0,0,0,0,0,0,
,,,,,,,,,
